feature_id_original	feature_id_standardized	ortholog_reference	mapping_confidence	mapping_release	mapping_evidence	candidate_current_gene_id	legacy_scaffold	legacy_refseq_accession	legacy_start	legacy_end	legacy_strand	legacy_description	legacy_ncbi_gene_id	ncbi_replacement_gene_id	legacy_ncbi_start	legacy_ncbi_end	overlap_bp	legacy_coverage	legacy_ncbi_coverage	current_symbol	current_description	current_refseq_accession	current_start	current_end	current_strand	candidate_overlap_count
CGI_10004133	NCBI:GeneID:105320320		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold40514	NW_011937776.1	63061	63432	-	Complement C1q-like protein 4  [Source:UniProtKB/TrEMBL;Acc:K1PR15]	105320320		63008	64723	372	1.0	0.216783	LOC105320320	uncharacterized LOC105320320	NC_088854.1	1388783	1391280	+	1
CGI_10004164	NCBI:GeneID:105346578		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1501	NW_011934877.1	44983	45699	+	Stress-induced protein 1  [Source:UniProtKB/TrEMBL;Acc:K1QZZ5]	105346578		44881	51799	717	1.0	0.103628	LOC105346578	major egg antigen	NC_088861.1	6659929	6661138	+	1
CGI_10004519	NCBI:GeneID:109617070		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1070	NW_011934840.1	66162	70918	-		109617070		64811	70090	3929	0.825941	0.744129	LOC109617070	failed axon connections homolog	NC_088854.1	25317183	25321708	+	1
CGI_10004826	CGI_10004826		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold178	NW_011937541.1	58024	92952	-															4
CGI_10005393	NCBI:GeneID:105334814		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold41656	NW_011935892.1	116696	119323	+	Inhibitor of apoptosis protein  [Source:UniProtKB/TrEMBL;Acc:K1PPI1]	105334814		113457	120805	2628	1.0	0.3576	LOC105334814	baculoviral IAP repeat-containing protein 2	NC_088861.1	35580852	35587942	-	1
CGI_10005413	NCBI:GeneID:105340677		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_coordinate_overlap_to_discontinued_ncbi_gene_then_ncbi_currentid		scaffold41664	NW_011936560.1	2170	3184	-	Importin-9  [Source:UniProtKB/TrEMBL;Acc:K1PWM7]	105341279	105340677	7	3003	834	0.821675	0.278278	LOC105340677	uncharacterized LOC105340677	NC_088856.1	29411132	29414354	-	1
CGI_10005710	NCBI:GeneID:105343412		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold41824	NW_011936786.1	65241	104767	-	Putative RNA-dependent RNA polymerase SHL2  [Source:UniProtKB/TrEMBL;Acc:K1PWF8]	105343412		74361	105204	30407	0.769272	0.985832	LOC105343412	uncharacterized LOC105343412	NC_088858.1	25388378	25395069	+	1
CGI_10006400	NCBI:GeneID:105318397		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold42236	NW_011934623.1	54014	55997	+		105318397		53931	56149	1984	1.0	0.894096	LOC105318397	cilia- and flagella-associated protein 251	NC_088859.1	25301132	25303369	+	1
CGI_10007171	CGI_10007171		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_ncbi_gene_discontinued_without_current_replacement		scaffold1264	NW_011935934.1	42236	82741	+	Sushi repeat-containing protein SRPX2  [Source:UniProtKB/TrEMBL;Acc:K1QBZ4]	105335341				20560	0.507579	1.0							
CGI_10007526	CGI_10007526		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1625	NW_011936535.1	34009	36188	+	Tripartite motif-containing protein 2  [Source:UniProtKB/TrEMBL;Acc:K1Q3G4]														1
CGI_10007534	CGI_10007534		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_ncbi_gene_discontinued_without_current_replacement		scaffold1625	NW_011936535.1	176211	183059	-	Low-density lipoprotein receptor-related protein 4  [Source:UniProtKB/TrEMBL;Acc:K1QWL0]	105341018				6849	1.0	0.340628							
CGI_10007659	NCBI:GeneID:105321203		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_coordinate_overlap_to_discontinued_ncbi_gene_then_ncbi_currentid		scaffold452	NW_011935267.1	168725	173603	-	IgGFc-binding protein  [Source:UniProtKB/TrEMBL;Acc:K1QIS7]	105328749	105321203	168647	175746	4879	1.0	0.687183	LOC105321203	fibrillin-1	NC_088857.1	267236	280317	+	1
CGI_10007687	CGI_10007687		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold42770	NW_011934985.1	14131	34729	-															2
CGI_10007809	NCBI:GeneID:105319227		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1508	NW_011937667.1	147980	168233	+	TBC1 domain family member 9  [Source:UniProtKB/TrEMBL;Acc:K1Q6S6]	105319227		122338	169488	20254	1.0	0.429556	LOC105319227	TBC1 domain family member 9	NC_088857.1	13537089	13577715	-	1
CGI_10007836	NCBI:GeneID:105322068		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold42840	NW_011937965.1	134311	145100	-		105322068		133541	162373	10790	1.0	0.374224	LOC105322068	uncharacterized LOC105322068	NC_088858.1	49438755	49459555	-	1
CGI_10008158	NCBI:GeneID:105321326		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold42922	NW_011937876.1	159610	171563	-	Nuclear factor erythroid 2-related factor 2  [Source:UniProtKB/TrEMBL;Acc:K1PDL5]	105321326		157752	184396	11954	1.0	0.44864	LOC105321326	endoplasmic reticulum membrane sensor NFE2L1	NC_088857.1	56034618	56048400	+	1
CGI_10008519	NCBI:GeneID:105317954		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold148	NW_011937539.1	148864	156626	+	Solute carrier family 23 member 1  [Source:UniProtKB/TrEMBL;Acc:K1R5Q0]	105317954		148381	157624	7763	1.0	0.839788	LOC105317954	solute carrier family 23 member 1	NC_088854.1	26608416	26617786	-	1
CGI_10008967	NCBI:GeneID:105317118		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1738	NW_011937465.1	27895	31472	+	L-ascorbate oxidase  [Source:UniProtKB/TrEMBL;Acc:K1Q837]	105317118		21021	32755	3578	1.0	0.3049	LOC105317118	uncharacterized LOC105317118	NC_088858.1	42484988	42496670	+	1
CGI_10009013	NCBI:GeneID:105322650		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1869	NW_011938014.1	38970	48769	-		105322650		36449	49469	9800	1.0	0.75263	LOC105322650	protein CREBRF homolog	NC_088860.1	950380	963371	-	1
CGI_10009093	CGI_10009093		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold50	NW_011934611.1	76221	84076	+	Filamin-A  [Source:UniProtKB/TrEMBL;Acc:K1RA95]														0
CGI_10009338	CGI_10009338		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_ncbi_gene_discontinued_without_current_replacement		scaffold1163	NW_011935760.1	76665	83505	+	Glucose dehydrogenase [acceptor]  [Source:UniProtKB/TrEMBL;Acc:K1PZS5]	105333502				6841	1.0	0.23818							
CGI_10010392	NCBI:GeneID:105318008		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1678	NW_011937546.1	225214	229518	+		105318008		225178	229801	4305	1.0	0.931012	LOC105318008	CD63 antigen	NC_088854.1	6871945	6876351	+	1
CGI_10010647	NCBI:GeneID:105348305		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1127	NW_011937319.1	39359	41263	+	Heat shock protein 70 B2  [Source:UniProtKB/TrEMBL;Acc:K1QG22]	105348305		39227	41454	1905	1.0	0.855027	LOC105348305	heat shock protein 68-like	NC_088859.1	12334525	12336747	+	1
CGI_10010795	NCBI:GeneID:105317263		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_coordinate_overlap_to_discontinued_ncbi_gene_then_ncbi_currentid		scaffold1098	NW_011937425.1	56507	72093	-		105349162	105317263	48989	67228	10722	0.687881	0.587829	LOC105317263	plexin-A2	NC_088856.1	28190495	28281524	-	1
CGI_10010798	CGI_10010798		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_ncbi_gene_discontinued_without_current_replacement		scaffold1098	NW_011937425.1	223579	266249	-	Sushi repeat-containing protein SRPX  [Source:UniProtKB/TrEMBL;Acc:K1QGM6]	105349166				40234	0.942889	0.972446							
CGI_10011184	NCBI:GeneID:105319633		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold338	NW_011937721.1	47890	56497	+	Interferon-induced protein 44-like protein  [Source:UniProtKB/TrEMBL;Acc:K1RUP9]	105319633		47555	58344	8608	1.0	0.797776	LOC105319633	interferon-induced protein 44-like	NC_088856.1	1101244	1105220	+	1
CGI_10011376	NCBI:GeneID:105343216		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold206	NW_011936775.1	152090	152599	-	Heat shock protein beta-1  [Source:UniProtKB/TrEMBL;Acc:K1RYF7]	105343216		151894	152671	510	1.0	0.655527	LOC105343216	heat shock protein Hsp-16.48/Hsp-16.49	NC_088857.1	48964224	48964986	+	1
CGI_10011513	NCBI:GeneID:105317854		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold43624	NW_011937529.1	270854	273360	+	Apoptosis 1 inhibitor  [Source:UniProtKB/TrEMBL;Acc:K1PQK7]	105317854		270720	273626	2507	1.0	0.862401	LOC105317854	baculoviral IAP repeat-containing protein 7	NC_088854.1	25884546	25887437	-	1
CGI_10012233	CGI_10012233		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
CGI_10012532	CGI_10012532		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
CGI_10012725	CGI_10012725		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold617	NW_011937204.1	125086	132906	-	Myeloid differentiation primary response protein MyD88  [Source:UniProtKB/TrEMBL;Acc:K1RJN9]														1
CGI_10012951	CGI_10012951		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold606	NW_011937022.1	256516	270880	+	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7  [Source:UniProtKB/TrEMBL;Acc:K1R0K2]														1
CGI_10013492	CGI_10013492		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold209	NW_011937909.1	229667	262245	+	Transposable element Tcb2 transposase  [Source:UniProtKB/TrEMBL;Acc:K1QTA7]														3
CGI_10013791	CGI_10013791		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1409	NW_011937798.1	324495	351305	-															3
CGI_10013942	NCBI:GeneID:105326222		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1860	NW_011935048.1	115404	123003	-	Ankyrin repeat domain-containing protein 27  [Source:UniProtKB/TrEMBL;Acc:K1Q4I5]	105326222		115836	123084	7168	0.943158	0.988826	LOC105326222	ankyrin repeat domain-containing protein 27	NC_088855.1	30301612	30317271	-	1
CGI_10014038	CGI_10014038		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
CGI_10014398	CGI_10014398		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1816	NW_011937011.1	110695	122090	+															1
CGI_10014469	NCBI:GeneID:105345576		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_coordinate_overlap_to_discontinued_ncbi_gene_then_ncbi_currentid		scaffold890	NW_011934741.1	138690	153467	-		105334002	105345576	138175	168246	14778	1.0	0.491421	LOC105345576	uncharacterized LOC105345576	NC_088859.1	32143703	32181952	+	1
CGI_10014945	CGI_10014945		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1354	NW_011936075.1	367786	378141	+	Complement C1q-like protein 4  [Source:UniProtKB/TrEMBL;Acc:K1Q1Z8]														2
CGI_10015297	NCBI:GeneID:117692972		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_coordinate_overlap_to_discontinued_ncbi_gene_then_ncbi_currentid		scaffold44008	NW_011936817.1	252443	265115	-	Sal-like protein 3  [Source:UniProtKB/TrEMBL;Acc:K1P9L3]	105343715	117692972	250781	290382	12673	1.0	0.320009	LOC117692972	sal-like protein 1	NC_088855.1	32485190	32527037	-	1
CGI_10015364	NCBI:GeneID:105349068		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1138	NW_011937400.1	12333	14967	-		105349068		3009	15371	2635	1.0	0.213136	LOC105349068	uncharacterized LOC105349068	NC_088854.1	12638000	12642181	+	1
CGI_10016002	NCBI:GeneID:109621173		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_coordinate_overlap_to_discontinued_ncbi_gene_then_ncbi_currentid		scaffold719	NW_011938069.1	161242	177672	-		105322911	109621173	155028	173306	12065	0.734283	0.660047	LOC109621173	uncharacterized LOC109621173	NC_088853.1	68400935	68402446	+	1
CGI_10016700	NCBI:GeneID:105332479		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1863	NW_011935651.1	445523	448225	+		105332479		444865	448399	2703	1.0	0.764639	LOC105332479	cytochrome b-245 chaperone 1	NC_088859.1	6393294	6396798	-	1
CGI_10016873	CGI_10016873		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1579	NW_011937869.1	367653	387162	+	Innexin unc-9  [Source:UniProtKB/TrEMBL;Acc:K1QCA5]														2
CGI_10017120	CGI_10017120		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_ncbi_gene_discontinued_without_current_replacement		scaffold1397	NW_011937570.1	206907	222276	-		105318316				8159	0.530839	0.919946							
CGI_10017270	CGI_10017270		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold63	NW_011935839.1	86545	96512	-															1
CGI_10017364	CGI_10017364		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_ncbi_gene_discontinued_without_current_replacement		scaffold1554	NW_011936205.1	154634	155946	-	Complement C1q tumor necrosis factor-related protein 3  [Source:UniProtKB/TrEMBL;Acc:K1QCZ4]	105337993				1313	1.0	0.987218							
CGI_10017830	CGI_10017830		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_ncbi_gene_discontinued_without_current_replacement		scaffold1077	NW_011937275.1	387371	414102	+	Insulin-degrading enzyme  [Source:UniProtKB/TrEMBL;Acc:K1Q9A5]	105347851				26732	1.0	0.831684							
CGI_10018182	NCBI:GeneID:105325493		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold459	NW_011942135.1	336071	337871	+	Liver carboxylesterase 4  [Source:UniProtKB/TrEMBL;Acc:K1QZK7]	105325493		332928	337948	1801	1.0	0.358693	LOC105325493	carboxylesterase 1C	NC_088853.1	45770366	45784431	+	1
CGI_10018622	NCBI:GeneID:105334789		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_coordinate_overlap_to_discontinued_ncbi_gene_then_ncbi_currentid		scaffold163	NW_011935891.1	333507	361685	+	Hemicentin-1  [Source:UniProtKB/TrEMBL;Acc:K1RAK1]	105334806	105334789	338709	354081	15373	0.545548	1.0	LOC105334789	uncharacterized LOC105334789	NC_088859.1	16478217	16505994	+	1
CGI_10018833	NCBI:GeneID:105318809		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold298	NW_011937614.1	459042	461079	-	Extracellular superoxide dismutase [Cu-Zn]  [Source:UniProtKB/TrEMBL;Acc:K1RVZ4]	105318809		458941	461174	2038	1.0	0.912265	LOC105318809	uncharacterized LOC105318809	NC_088862.1	2594625	2596882	+	1
CGI_10019357	CGI_10019357		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_ncbi_gene_discontinued_without_current_replacement		scaffold317	NW_011937283.1	411915	412268	-	Caprin-2  [Source:UniProtKB/TrEMBL;Acc:K1RBU7]	105348028				354	1.0	0.386041							
CGI_10019614	NCBI:GeneID:105321711		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1889	NW_011937917.1	323907	326641	+	Transcription factor HES-1  [Source:UniProtKB/TrEMBL;Acc:K1QPH8]	105321711		323749	326990	2735	1.0	0.843615	LOC105321711	protein hairy	NC_088855.1	6812524	6815705	+	1
CGI_10019635	CGI_10019635		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_ncbi_gene_discontinued_without_current_replacement		scaffold1896	NW_011937177.1	122415	155765	-		105346950				33351	1.0	0.558812							
CGI_10019809	CGI_10019809		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
CGI_10020024	CGI_10020024		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold948	NW_011937706.1	412682	418646	-	Tripartite motif-containing protein 2  [Source:UniProtKB/TrEMBL;Acc:K1QS24]														1
