feature_id_standardized	gene_symbol	description	gene_biotype	annotation_release
NCBI:GeneID:105320937	LOC105320937	aromatic-L-amino-acid decarboxylase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136273102	LOC136273102	uncharacterized LOC136273102	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271690	LOC136271690	uncharacterized LOC136271690	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335390	LOC105335390	uncharacterized protein K02A2.6	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136273127	LOC136273127	sterile alpha motif domain-containing protein 9-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117681106	LOC117681106	uncharacterized LOC117681106	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136273093	LOC136273093	lethal(3)malignant brain tumor-like protein 3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327358	LOC105327358	cubilin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271071	LOC136271071	uncharacterized LOC136271071	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274010	LOC136274010	uncharacterized LOC136274010	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331176	LOC105331176	uncharacterized LOC105331176	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271846	LOC136271846	uncharacterized LOC136271846	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117687648	LOC117687648	uncharacterized LOC117687648	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109618415	LOC109618415	uncharacterized LOC109618415	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117680570	LOC117680570	uncharacterized LOC117680570	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272650	LOC136272650	uncharacterized LOC136272650	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274120	LOC136274120	uncharacterized LOC136274120	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323013	LOC105323013	uncharacterized LOC105323013	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272259	LOC136272259	uncharacterized LOC136272259	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136270793	LOC136270793	uncharacterized LOC136270793	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318591	LOC105318591	serine/threonine-protein kinase TBK1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328771	LOC105328771	uncharacterized LOC105328771	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117687908	LOC117687908	uncharacterized LOC117687908	misc_RNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322996	LOC105322996	nuclear protein AMMECR1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347211	LOC105347211	protein mono-ADP-ribosyltransferase PARP15	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105319354	LOC105319354	protein amnionless	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334580	LOC105334580	BAG family molecular chaperone regulator 3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338757	LOC105338757	DNA-directed RNA polymerase I subunit RPA1-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136273458	LOC136273458	uncharacterized LOC136273458	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136269514	LOC136269514	piggyBac transposable element-derived protein 4-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334234	LOC105334234	heat shock protein 70 B2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136270871	LOC136270871	uncharacterized LOC136270871	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342962	LOC105342962	uncharacterized LOC105342962	misc_RNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109620779	LOC109620779	uncharacterized LOC109620779	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105341387	LOC105341387	cadherin EGF LAG seven-pass G-type receptor 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345307	LOC105345307	kinesin-like protein KIF28P	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323642	LOC105323642	immediate early response gene 5-like protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105324616	LOC105324616	uncharacterized LOC105324616	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117692535	LOC117692535	uncharacterized LOC117692535	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322994	LOC105322994	E3 SUMO-protein ligase EGR2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330702	LOC105330702	toll-like receptor 4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117687131	LOC117687131	uncharacterized LOC117687131	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327207	LOC105327207	uncharacterized LOC105327207	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336052	LOC105336052	fatty acyl-CoA hydrolase precursor, medium chain	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330431	LOC105330431	TPR and ankyrin repeat-containing protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117690666	LOC117690666	uncharacterized LOC117690666	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105319786	LOC105319786	uncharacterized LOC105319786	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322231	LOC105322231	protein wech-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272320	LOC136272320	uncharacterized LOC136272320	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334789	LOC105334789	uncharacterized LOC105334789	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272333	LOC136272333	uncharacterized LOC136272333	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346440	LOC105346440	zinc transporter ZIP1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333102	LOC105333102	uncharacterized LOC105333102	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333596	LOC105333596	uncharacterized LOC105333596	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343215	LOC105343215	alpha-crystallin A chain	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117690579	LOC117690579	small nucleolar RNA U3	snoRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340743	LOC105340743	uncharacterized LOC105340743	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339084	LOC105339084	neuroligin-4, X-linked	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320253	LOC105320253	uncharacterized HIT-like protein Synpcc7942_1390	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347917	LOC105347917	macrophage-expressed gene 1 protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117692199	LOC117692199	uncharacterized LOC117692199	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109617364	LOC109617364	uncharacterized LOC109617364	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109619688	LOC109619688	E3 ubiquitin-protein ligase TRIM71	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136276614	LOC136276614	uncharacterized LOC136276614	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109619084	LOC109619084	uncharacterized LOC109619084	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117686812	LOC117686812	E3 ubiquitin-protein ligase TRIM71-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331566	LOC105331566	transcription factor MafK	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117684131	LOC117684131	large subunit ribosomal RNA	rRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272543	LOC136272543	large subunit ribosomal RNA	rRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272545	LOC136272545	large subunit ribosomal RNA	rRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272546	LOC136272546	large subunit ribosomal RNA	rRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272547	LOC136272547	large subunit ribosomal RNA	rRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136269915	LOC136269915	uncharacterized LOC136269915	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340538	LOC105340538	protein hook homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109618881	LOC109618881	tubulin alpha-1A chain	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329978	LOC105329978	uncharacterized LOC105329978	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117688657	LOC117688657	piggyBac transposable element-derived protein 4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334989	LOC105334989	uncharacterized LOC105334989	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136269586	LOC136269586	IQ motif and SEC7 domain-containing protein 1-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335254	LOC105335254	choline transporter-like protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340253	LOC105340253	uncharacterized LOC105340253	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136275741	LOC136275741	uncharacterized LOC136275741	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336533	LOC105336533	uncharacterized LOC105336533	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318810	LOC105318810	uncharacterized LOC105318810	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326353	LOC105326353	DNA polymerase III polC-type	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274407	LOC136274407	complement C1q tumor necrosis factor-related protein 3-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136273999	LOC136273999	uncharacterized LOC136273999	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136270285	LOC136270285	uncharacterized LOC136270285	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338153	LOC105338153	contactin-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318334	LOC105318334	uncharacterized LOC105318334	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323147	LOC105323147	RNA-binding protein 26	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136269423	LOC136269423	uncharacterized LOC136269423	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326793	LOC105326793	mucin-17	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136270845	LOC136270845	ankyrin repeat domain-containing protein 50-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326051	LOC105326051	phosphoenolpyruvate carboxykinase, cytosolic [GTP]	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329930	LOC105329930	uncharacterized LOC105329930	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272104	LOC136272104	interferon alpha-inducible protein 27-like protein 2A	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336094	LOC105336094	synaptonemal complex protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338916	LOC105338916	collagen alpha-1(II) chain-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336969	LOC105336969	uncharacterized LOC105336969	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105349020	LOC105349020	fos-related antigen 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337929	LOC105337929	protein ERGIC-53	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136270109	LOC136270109	uncharacterized LOC136270109	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333234	LOC105333234	ryncolin-4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335243	LOC105335243	uncharacterized LOC105335243	misc_RNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271978	LOC136271978	uncharacterized LOC136271978	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323777	LOC105323777	glutathione S-transferase A	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320949	LOC105320949	uncharacterized LOC105320949	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326494	LOC105326494	G-protein coupled receptor 157-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117689670	LOC117689670	uncharacterized LOC117689670	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346585	LOC105346585	sialin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347653	LOC105347653	uncharacterized LOC105347653	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105341345	LOC105341345	sodium-dependent phosphate transport protein 2B	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340727	LOC105340727	transcription factor SOX-11	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322032	LOC105322032	collagen alpha-1(V) chain	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117692634	LOC117692634	uncharacterized LOC117692634	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317943	LOC105317943	plexin A3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272140	LOC136272140	uncharacterized LOC136272140	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117687059	LOC117687059	uncharacterized LOC117687059	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339692	LOC105339692	cysteine dioxygenase type 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136273702	LOC136273702	uncharacterized LOC136273702	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136269626	LOC136269626	girdin-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337653	LOC105337653	immunoglobulin superfamily member 22	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334699	LOC105334699	uncharacterized LOC105334699	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136269780	LOC136269780	snake venom 5'-nucleotidase-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323978	LOC105323978	uncharacterized LOC105323978	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136270764	LOC136270764	uncharacterized LOC136270764	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327748	LOC105327748	B-box type zinc finger protein ncl-1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347403	LOC105347403	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326444	LOC105326444	C-type lectin domain family 7 member A	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323030	LOC105323030	uncharacterized LOC105323030	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328890	LOC105328890	cyclic nucleotide-gated channel rod photoreceptor subunit alpha	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340250	LOC105340250	heat shock 70 kDa protein 12A	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325053	LOC105325053	netrin-1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117688927	LOC117688927	uncharacterized LOC117688927	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329159	LOC105329159	hypothetical protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136270714	LOC136270714	rho GTPase-activating protein gacT-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327272	LOC105327272	uncharacterized LOC105327272	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329544	LOC105329544	uncharacterized LOC105329544	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345900	LOC105345900	amine oxidase [flavin-containing]-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117682125	LOC117682125	uncharacterized LOC117682125	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342507	LOC105342507	cell death abnormality protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117692803	LOC117692803	uncharacterized LOC117692803	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329701	LOC105329701	uncharacterized LOC105329701	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117687750	LOC117687750	uncharacterized LOC117687750	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271012	LOC136271012	ankyrin-1-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330768	LOC105330768	uncharacterized LOC105330768	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105341110	LOC105341110	short-chain dehydrogenase/reductase family 42E member 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117687017	LOC117687017	cilia- and flagella-associated protein 251	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330059	LOC105330059	uncharacterized LOC105330059	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136275707	LOC136275707	uncharacterized LOC136275707	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136276290	LOC136276290	amino acid transporter heavy chain SLC3A1-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332059	LOC105332059	lysozyme-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321575	LOC105321575	organic cation transporter protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105324653	LOC105324653	uncharacterized LOC105324653	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272759	LOC136272759	putative inhibitor of apoptosis	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321266	LOC105321266	max-binding protein MNT	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325762	LOC105325762	uncharacterized LOC105325762	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317667	LOC105317667	uncharacterized LOC105317667	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117685375	LOC117685375	uncharacterized LOC117685375	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317566	LOC105317566	chitin synthase chs-2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274591	LOC136274591	uncharacterized LOC136274591	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342026	LOC105342026	cytosolic non-specific dipeptidase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342671	LOC105342671	uncharacterized LOC105342671	misc_RNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117682029	LOC117682029	uncharacterized LOC117682029	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334565	LOC105334565	polyubiquitin-C	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337546	LOC105337546	ATP-binding cassette sub-family C member 4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117683203	LOC117683203	uncharacterized LOC117683203	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117682537	LOC117682537	uncharacterized LOC117682537	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342678	LOC105342678	uncharacterized LOC105342678	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321905	LOC105321905	uncharacterized LOC105321905	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343117	LOC105343117	uncharacterized LOC105343117	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117682741	LOC117682741	interferon-induced protein 44	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348832	LOC105348832	uncharacterized LOC105348832	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318917	LOC105318917	protein dispatched homolog 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348472	LOC105348472	immunoglobulin superfamily member 22-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136276476	LOC136276476	uncharacterized LOC136276476	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345814	LOC105345814	CCAAT/enhancer-binding protein beta	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339097	LOC105339097	fibrocystin-L	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332843	LOC105332843	putative nuclease HARBI1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337185	LOC105337185	uncharacterized LOC105337185	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117688428	LOC117688428	uncharacterized LOC117688428	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337911	LOC105337911	protein eyes shut homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117691615	LOC117691615	uncharacterized LOC117691615	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333265	LOC105333265	uncharacterized LOC105333265	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274192	LOC136274192	uncharacterized LOC136274192	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117687557	LOC117687557	uncharacterized LOC117687557	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117687125	LOC117687125	uncharacterized LOC117687125	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117683429	LOC117683429	probable E3 ubiquitin-protein ligase MID2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344740	LOC105344740	uncharacterized LOC105344740	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136273510	LOC136273510	uncharacterized LOC136273510	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325221	LOC105325221	collagen alpha-1(I) chain	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337010	LOC105337010	uncharacterized LOC105337010	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321769	LOC105321769	receptor-type tyrosine-protein phosphatase mu	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117692001	LOC117692001	uncharacterized LOC117692001	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336714	LOC105336714	uncharacterized LOC105336714	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347888	LOC105347888	lim and transglutaminase domain protein ltd-1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272682	LOC136272682	uncharacterized LOC136272682	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348628	LOC105348628	uncharacterized LOC105348628	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272613	LOC136272613	uncharacterized LOC136272613	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340841	LOC105340841	uncharacterized LOC105340841	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322383	LOC105322383	non-structural maintenance of chromosomes element 1 homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335590	LOC105335590	putative uncharacterized protein DDB_G0286901	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318791	LOC105318791	uncharacterized LOC105318791	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322675	LOC105322675	von Willebrand factor A domain-containing protein 5A	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336617	LOC105336617	glycerophosphocholine phosphodiesterase GPCPD1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344727	LOC105344727	transcription factor RFX4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335370	LOC105335370	uncharacterized LOC105335370	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271089	LOC136271089	uncharacterized LOC136271089	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117687407	LOC117687407	uncharacterized LOC117687407	lncRNA	GCF_963853765.1-RS_2024_06
