feature_id_standardized	gene_symbol	description	gene_biotype	annotation_release
NCBI:GeneID:105333867	LOC105333867	RWD domain-containing protein 4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333511	LOC105333511	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332855	LOC105332855	probable D-lactate dehydrogenase, mitochondrial	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317185	LOC105317185	uncharacterized protein KIAA0825	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326360	LOC105326360	hypothetical protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320291	LOC105320291	uncharacterized LOC105320291	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336531	LOC105336531	uncharacterized LOC105336531	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272266	LOC136272266	uncharacterized LOC136272266	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136275777	LOC136275777	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329669	LOC105329669	low-density lipoprotein receptor-related protein 12	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342288	LOC105342288	protein artichoke	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117682388	LOC117682388	peregrin-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346929	LOC105346929	uncharacterized LOC105346929	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117681185	LOC117681185	ATP-binding cassette sub-family C member 4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329503	LOC105329503	DNA-directed RNA polymerase III subunit RPC2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117689761	LOC117689761	uncharacterized LOC117689761	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274496	LOC136274496	uncharacterized LOC136274496	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347585	LOC105347585	carbonic anhydrase 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338949	LOC105338949	alpha-2 adrenergic receptor	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347620	LOC105347620	ras-related protein rab7	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347865	LOC105347865	phospholipid-transporting ATPase ABCA3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326272	LOC105326272	enolase-phosphatase E1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328490	LOC105328490	E3 ubiquitin-protein ligase bre-1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334776	LOC105334776	coiled-coil domain-containing protein 6	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136270757	LOC136270757	uncharacterized LOC136270757	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317763	LOC105317763	protein toll-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344893	LOC105344893	leukocyte surface antigen CD53	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317928	LOC105317928	uncharacterized LOC105317928	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331511	LOC105331511	retinol dehydrogenase 16	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344466	LOC105344466	general transcription factor 3C polypeptide 6	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344114	LOC105344114	E3 ubiquitin-protein ligase TRIM71	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272166	LOC136272166	probable transcriptional regulatory protein HY04AAS1_0501	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274657	LOC136274657	tripartite motif-containing protein 2-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333944	LOC105333944	procollagen galactosyltransferase 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326371	LOC105326371	hypothetical protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318795	LOC105318795	transient receptor potential cation channel subfamily M member 3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117684587	LOC117684587	uncharacterized LOC117684587	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117687139	LOC117687139	uncharacterized LOC117687139	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337815	LOC105337815	5'-nucleotidase domain-containing protein 3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330790	LOC105330790	uncharacterized LOC105330790	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326374	LOC105326374	transient receptor potential cation channel subfamily M member-like 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348957	LOC105348957	glutamate dehydrogenase, mitochondrial	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335657	LOC105335657	cytoglobin-1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320282	LOC105320282	importin-4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136269426	LOC136269426	uncharacterized LOC136269426	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117690863	LOC117690863	LYR motif-containing protein 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327806	LOC105327806	myeloid leukemia factor 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337127	LOC105337127	transmembrane protein 237	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335186	LOC105335186	AP-3 complex subunit sigma-1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329343	LOC105329343	ral GTPase-activating protein subunit beta	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340113	LOC105340113	neuroendocrine convertase 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344312	LOC105344312	short-chain specific acyl-CoA dehydrogenase, mitochondrial	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343247	LOC105343247	small nuclear ribonucleoprotein-associated protein B	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330578	LOC105330578	uncharacterized LOC105330578	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327076	LOC105327076	uncharacterized LOC105327076	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334622	LOC105334622	uncharacterized LOC105334622	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321187	LOC105321187	sodium channel protein 1 brain	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323288	LOC105323288	protein FAM13A	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331427	LOC105331427	pancreatic lipase-related protein 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109617831	LOC109617831	uncharacterized LOC109617831	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345387	LOC105345387	nostrin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321566	LOC105321566	V-type proton ATPase 16 kDa proteolipid subunit c	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340562	LOC105340562	C-C chemokine receptor type 6	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331447	LOC105331447	protein odr-4 homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343925	LOC105343925	mediator of RNA polymerase II transcription subunit 16	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339461	LOC105339461	uncharacterized LOC105339461	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320099	LOC105320099	protein YIF1B-A	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344666	LOC105344666	calpain-13	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333137	LOC105333137	malate dehydrogenase, mitochondrial	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348905	LOC105348905	snake venom 5'-nucleotidase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348582	LOC105348582	RING finger protein 141	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342536	LOC105342536	metalloproteinase inhibitor 4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320503	LOC105320503	toxin CfTX-B	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332614	LOC105332614	uncharacterized LOC105332614	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345874	LOC105345874	uncharacterized LOC105345874	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336384	LOC105336384	major facilitator superfamily domain-containing protein 6	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340099	LOC105340099	uncharacterized LOC105340099	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105319628	LOC105319628	vacuolar protein sorting-associated protein 45	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117680982	LOC117680982	uncharacterized LOC117680982	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330637	LOC105330637	mucin-2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272895	LOC136272895	synaptogenesis protein syg-2-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345699	LOC105345699	chromodomain-helicase-DNA-binding protein 4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318002	LOC105318002	out at first protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272711	LOC136272711	uncharacterized LOC136272711	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328691	LOC105328691	intraflagellar transport protein 20 homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117680620	LOC117680620	histone acetyltransferase p300	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109619149	LOC109619149	uncharacterized LOC109619149	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105319209	LOC105319209	spliceosome RNA helicase DDX39B	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322515	LOC105322515	uncharacterized LOC105322515	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325559	LOC105325559	uncharacterized LOC105325559	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331360	LOC105331360	F-box only protein 15	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274683	LOC136274683	uncharacterized LOC136274683	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332680	LOC105332680	homeodomain-only protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117685957	LOC117685957	uncharacterized LOC117685957	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339776	LOC105339776	cell surface hyaluronidase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340913	LOC105340913	kinase non-catalytic C-lobe domain-containing protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320255	LOC105320255	ras-related and estrogen-regulated growth inhibitor	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347084	LOC105347084	histone deacetylase complex subunit SAP18	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345106	LOC105345106	uncharacterized LOC105345106	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321569	LOC105321569	SH2B adapter protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333210	LOC105333210	protein cycle	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342172	LOC105342172	myb/SANT-like DNA-binding domain-containing protein 4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344313	LOC105344313	72 kDa type IV collagenase-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344343	LOC105344343	serine/threonine-protein kinase RIO2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332131	LOC105332131	RNA polymerase II-associated factor 1 homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338826	LOC105338826	uncharacterized LOC105338826	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325297	LOC105325297	ciliary microtubule associated protein 1A	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328486	LOC105328486	proteasome activator complex subunit 4B	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348121	LOC105348121	cyclic nucleotide-gated channel rod photoreceptor subunit alpha	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117692417	LOC117692417	A disintegrin and metalloproteinase with thrombospondin motifs adt-1-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336196	LOC105336196	uncharacterized LOC105336196	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342374	LOC105342374	uncharacterized LOC105342374	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342553	LOC105342553	methyl-CpG-binding domain protein 4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346880	LOC105346880	uncharacterized LOC105346880	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322734	LOC105322734	interferon-induced protein 44	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338386	LOC105338386	uncharacterized LOC105338386	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340543	LOC105340543	feeding circuit activating peptides-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321965	LOC105321965	protein YIPF6	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323707	LOC105323707	sodium/glucose cotransporter 4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336554	LOC105336554	solute carrier family 23 member 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117689823	LOC117689823	cell division cycle protein 23 homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345203	LOC105345203	cyclic nucleotide-gated channel alpha-1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337550	LOC105337550	uncharacterized LOC105337550	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346397	LOC105346397	probable cytosolic iron-sulfur protein assembly protein CIAO1 homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347867	LOC105347867	uncharacterized protein C5orf34 homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333259	LOC105333259	protein RER1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117682793	LOC117682793	brain acid soluble protein 1-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333927	LOC105333927	derlin-2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335620	LOC105335620	sushi domain-containing protein 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335135	LOC105335135	conditioned medium factor receptor 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322360	LOC105322360	protein SET	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342177	LOC105342177	uncharacterized LOC105342177	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318598	LOC105318598	glutathione S-transferase omega-1-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105324655	LOC105324655	GTP-binding protein Di-Ras2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332287	LOC105332287	glucose-fructose oxidoreductase domain-containing protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333177	LOC105333177	uncharacterized LOC105333177	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329589	LOC105329589	polypyrimidine tract-binding protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333507	LOC105333507	protein dispatched homolog 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342273	LOC105342273	ubiquitin-like modifier-activating enzyme 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348952	LOC105348952	uncharacterized LOC105348952	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334825	LOC105334825	S-phase kinase-associated protein 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332733	LOC105332733	uncharacterized LOC105332733	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345995	LOC105345995	mRNA-decapping enzyme 1A	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336505	LOC105336505	uncharacterized LOC105336505	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317980	LOC105317980	uncharacterized LOC105317980	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348899	LOC105348899	failed axon connections homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337494	LOC105337494	mannose-6-phosphate isomerase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348452	LOC105348452	protein Dr1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346444	LOC105346444	small ribosomal subunit protein mS29	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136276418	LOC136276418	uncharacterized LOC136276418	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322556	LOC105322556	uncharacterized LOC105322556	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105319878	LOC105319878	uncharacterized LOC105319878	misc_RNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346919	LOC105346919	uncharacterized LOC105346919	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323102	LOC105323102	UDP-xylose and UDP-N-acetylglucosamine transporter	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348228	LOC105348228	uncharacterized LOC105348228	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318648	LOC105318648	protein phosphatase PTC7 homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272160	LOC136272160	uncharacterized LOC136272160	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329615	LOC105329615	casein kinase I	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347308	LOC105347308	myeloid differentiation primary response protein MyD88	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321015	LOC105321015	testis-expressed protein 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329045	LOC105329045	uncharacterized LOC105329045	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327253	LOC105327253	lachesin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318182	LOC105318182	myosin heavy chain, clone 203	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317915	LOC105317915	uncharacterized LOC105317915	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117681213	LOC117681213	electroneutral sodium bicarbonate exchanger 1-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334764	LOC105334764	F-box/LRR-repeat protein 16	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344349	LOC105344349	uncharacterized LOC105344349	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334153	LOC105334153	arginine--tRNA ligase, cytoplasmic	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346189	LOC105346189	carbohydrate sulfotransferase 15	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109617807	LOC109617807	hypothetical protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105341546	LOC105341546	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit wdr4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344926	LOC105344926	uncharacterized LOC105344926	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332128	LOC105332128	ribosomal protein S6 kinase alpha-5	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338760	LOC105338760	oxysterol-binding protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117680638	LOC117680638	uncharacterized LOC117680638	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342580	LOC105342580	vacuolar protein sorting-associated protein 33B	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342546	LOC105342546	DNA-(apurinic or apyrimidinic site) endonuclease 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105341835	LOC105341835	maternal embryonic leucine zipper kinase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136270038	LOC136270038	uncharacterized LOC136270038	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105349098	LOC105349098	lysine-specific demethylase 7B	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333919	LOC105333919	methyltransferase-like 26	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330132	LOC105330132	limbic system-associated membrane protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105319299	LOC105319299	multifunctional protein CAD	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329857	LOC105329857	circadian locomoter output cycles protein kaput	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344585	LOC105344585	dentin sialophosphoprotein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105341541	LOC105341541	BRD4-interacting chromatin-remodeling complex-associated protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339886	LOC105339886	uncharacterized LOC105339886	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337538	LOC105337538	ras-related and estrogen-regulated growth inhibitor	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321940	LOC105321940	lactoylglutathione lyase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345617	LOC105345617	phospholipid phosphatase 3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331215	LOC105331215	uncharacterized LOC105331215	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105319384	LOC105319384	G protein-activated inward rectifier potassium channel 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322175	LOC105322175	choline transporter-like protein 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318451	LOC105318451	microsomal glutathione S-transferase 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340111	LOC105340111	GON-4-like protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345706	LOC105345706	transmembrane protein 272	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325974	LOC105325974	neurochondrin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325886	LOC105325886	cleavage and polyadenylation specificity factor subunit 6	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330233	LOC105330233	FAD synthase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136269703	LOC136269703	pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322358	LOC105322358	uncharacterized LOC105322358	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336787	LOC105336787	E3 ubiquitin-protein ligase TRIM45	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318380	LOC105318380	protein EFR3 homolog B	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335656	LOC105335656	COMM domain-containing protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105324586	LOC105324586	medium-chain acyl-CoA ligase ACSF2, mitochondrial	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334169	LOC105334169	coiled-coil domain-containing protein 77	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318259	LOC105318259	nudC domain-containing protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271408	LOC136271408	ribonuclease Oy-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323905	LOC105323905	small ribosomal subunit protein uS11	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336522	LOC105336522	neurobeachin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342403	LOC105342403	U4/U6 small nuclear ribonucleoprotein Prp31-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329388	LOC105329388	uncharacterized LOC105329388	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320847	LOC105320847	basal body-orientation factor 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117683829	LOC117683829	E3 ubiquitin-protein ligase TRIM71-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322685	LOC105322685	serpin B6	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117687635	LOC117687635	uncharacterized LOC117687635	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329888	LOC105329888	argininosuccinate synthase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109618452	LOC109618452	17-beta-hydroxysteroid dehydrogenase 14	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339346	LOC105339346	glypican-6	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323475	LOC105323475	large ribosomal subunit protein uL22	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333007	LOC105333007	dermokine	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105341223	LOC105341223	ATPase family AAA domain-containing protein 5	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325160	LOC105325160	uncharacterized LOC105325160	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347132	LOC105347132	ubiquitin-like FUBI-ribosomal protein eS30 fusion protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336644	LOC105336644	regucalcin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323189	LOC105323189	GATA zinc finger domain-containing protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117684275	LOC117684275	NADPH:adrenodoxin oxidoreductase, mitochondrial	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329923	LOC105329923	histone acetyltransferase KAT7	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109619690	LOC109619690	uncharacterized LOC109619690	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342523	LOC105342523	carbohydrate sulfotransferase 15	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348558	LOC105348558	YTH domain-containing family protein 3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323962	LOC105323962	cadherin-23	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347699	LOC105347699	polycystin family receptor for egg jelly	protein_coding	GCF_963853765.1-RS_2024_06
